secID,ticker,secShortName,cnSpell,exchangeCD,assetClass,listStatusCD,listDate,transCurrCD,ISIN,partyID
002579.XSHE,002579,中京电子,ZJDZ,XSHE,E,L,2011-05-06,CNY,CNE1000012P3,42579.0
002580.XSHE,002580,圣阳股份,SYGF,XSHE,E,L,2011-05-06,CNY,CNE1000012Q1,43491.0
002581.XSHE,002581,未名医药,WMYY,XSHE,E,L,2011-05-20,CNY,CNE1000012Y5,42792.0
002582.XSHE,002582,好想你,HXN,XSHE,E,L,2011-05-20,CNY,CNE1000012Z2,45555.0
002583.XSHE,002583,海能达,HND,XSHE,E,L,2011-05-27,CNY,CNE1000013B1,35083.0
002584.XSHE,002584,西陇化工,XLHG,XSHE,E,L,2011-06-02,CNY,CNE1000013M8,45554.0
002585.XSHE,002585,双星新材,SXXC,XSHE,E,L,2011-06-02,CNY,CNE1000013N6,46516.0
002586.XSHE,002586,围海股份,WHGF,XSHE,E,L,2011-06-02,CNY,CNE1000013P1,46518.0
002587.XSHE,002587,奥拓电子,ATDZ,XSHE,E,L,2011-06-10,CNY,CNE1000013V9,46859.0
002588.XSHE,002588,史丹利,SDL,XSHE,E,L,2011-06-10,CNY,CNE1000013W7,47007.0
002589.XSHE,002589,瑞康医药,RKYY,XSHE,E,L,2011-06-10,CNY,CNE1000013X5,46858.0
002590.XSHE,002590,万安科技,WAKJ,XSHE,E,L,2011-06-10,CNY,CNE1000013Y3,46169.0
002591.XSHE,002591,恒大高新,HDGX,XSHE,E,L,2011-06-21,CNY,CNE1000014V7,36176.0
002592.XSHE,002592,八菱科技,BLKJ,XSHE,E,L,2011-11-11,CNY,CNE100001930,46393.0
002593.XSHE,002593,日上集团,RSJT,XSHE,E,L,2011-06-28,CNY,CNE1000014Y1,48271.0
002594.XSHE,002594,比亚迪,BYD,XSHE,E,L,2011-06-30,CNY,CNE100001526,2073.0
002595.XSHE,002595,豪迈科技,HMKJ,XSHE,E,L,2011-06-28,CNY,CNE1000014X3,38232.0
002596.XSHE,002596,海南瑞泽,HNRZ,XSHE,E,L,2011-07-07,CNY,CNE1000015B6,48642.0
002597.XSHE,002597,金禾实业,JHSY,XSHE,E,L,2011-07-07,CNY,CNE1000015C4,49191.0
002598.XSHE,002598,山东章鼓,SDZG,XSHE,E,L,2011-07-07,CNY,CNE1000015D2,49194.0
002599.XSHE,002599,盛通股份,STGF,XSHE,E,L,2011-07-15,CNY,CNE1000015K7,33271.0
002600.XSHE,002600,江粉磁材,JFCC,XSHE,E,L,2011-07-15,CNY,CNE1000015L5,48844.0
002601.XSHE,002601,佰利联,BLL,XSHE,E,L,2011-07-15,CNY,CNE1000015M3,48845.0
002602.XSHE,002602,世纪华通,SJHT,XSHE,E,L,2011-07-28,CNY,CNE1000015R2,49857.0
002603.XSHE,002603,以岭药业,YLYY,XSHE,E,L,2011-07-28,CNY,CNE1000015S0,50898.0
002604.XSHE,002604,龙力生物,LLSW,XSHE,E,L,2011-07-28,CNY,CNE1000015T8,48160.0
002605.XSHE,002605,姚记扑克,YJPK,XSHE,E,L,2011-08-05,CNY,CNE100001625,47823.0
002606.XSHE,002606,大连电瓷,DLDC,XSHE,E,L,2011-08-05,CNY,CNE100001633,39699.0
002607.XSHE,002607,亚夏汽车,YXQC,XSHE,E,L,2011-08-10,CNY,CNE100001641,49800.0
002608.XSHE,002608,*ST舜船,*STSC,XSHE,E,L,2011-08-10,CNY,CNE100001658,51810.0
002609.XSHE,002609,捷顺科技,JSKJ,XSHE,E,L,2011-08-15,CNY,CNE1000016J7,39877.0
002610.XSHE,002610,爱康科技,AKKJ,XSHE,E,L,2011-08-15,CNY,CNE1000016H1,53371.0
002611.XSHE,002611,东方精工,DFJG,XSHE,E,L,2011-08-30,CNY,CNE1000016L3,54009.0
002612.XSHE,002612,朗姿股份,LZGF,XSHE,E,L,2011-08-30,CNY,CNE1000016M1,54223.0
002613.XSHE,002613,北玻股份,BBGF,XSHE,E,L,2011-08-30,CNY,CNE1000016N9,37221.0
002614.XSHE,002614,蒙发利,MFL,XSHE,E,L,2011-09-09,CNY,CNE100001740,38229.0
002615.XSHE,002615,哈尔斯,HES,XSHE,E,L,2011-09-09,CNY,CNE100001732,38507.0
002616.XSHE,002616,长青集团,CQJT,XSHE,E,L,2011-09-20,CNY,CNE1000016Z3,54080.0
002617.XSHE,002617,露笑科技,LXKJ,XSHE,E,L,2011-09-20,CNY,CNE1000016Y6,54755.0
002618.XSHE,002618,丹邦科技,DBKJ,XSHE,E,L,2011-09-20,CNY,CNE1000016X8,52987.0
002619.XSHE,002619,巨龙管业,JLGY,XSHE,E,L,2011-09-29,CNY,CNE1000017B2,54680.0
002620.XSHE,002620,瑞和股份,RHGF,XSHE,E,L,2011-09-29,CNY,CNE1000017C0,51286.0
002621.XSHE,002621,三垒股份,SLGF,XSHE,E,L,2011-09-29,CNY,CNE1000017D8,54679.0
002622.XSHE,002622,永大集团,YDJT,XSHE,E,L,2011-10-18,CNY,CNE1000017F3,37201.0
002623.XSHE,002623,亚玛顿,YMD,XSHE,E,L,2011-10-13,CNY,CNE1000018Y2,56980.0
002624.XSHE,002624,完美环球,WMHQ,XSHE,E,L,2011-10-28,CNY,CNE1000018W6,54571.0
002625.XSHE,002625,龙生股份,LSGF,XSHE,E,L,2011-11-03,CNY,CNE1000018P0,56684.0
002626.XSHE,002626,金达威,JDW,XSHE,E,L,2011-10-28,CNY,CNE1000018X4,48644.0
002627.XSHE,002627,宜昌交运,YCJY,XSHE,E,L,2011-11-03,CNY,CNE1000018Q8,51807.0
002628.XSHE,002628,成都路桥,CDLQ,XSHE,E,L,2011-11-03,CNY,CNE1000018R6,56683.0
002629.XSHE,002629,仁智油服,RZYF,XSHE,E,L,2011-11-03,CNY,CNE1000018S4,53370.0
002630.XSHE,002630,华西能源,HXNY,XSHE,E,L,2011-11-11,CNY,CNE100001948,36447.0
002631.XSHE,002631,德尔未来,DEWL,XSHE,E,L,2011-11-11,CNY,CNE100001955,58353.0
002632.XSHE,002632,道明光学,DMGX,XSHE,E,L,2011-11-22,CNY,CNE100001971,60044.0
002633.XSHE,002633,*ST申科,*STSK,XSHE,E,L,2011-11-22,CNY,CNE100001989,58354.0
002634.XSHE,002634,棒杰股份,BJGF,XSHE,E,L,2011-12-05,CNY,CNE1000019G7,57983.0
002635.XSHE,002635,安洁科技,AJKJ,XSHE,E,L,2011-11-25,CNY,CNE1000019B8,59262.0
002636.XSHE,002636,金安国纪,JAGJ,XSHE,E,L,2011-11-25,CNY,CNE1000019C6,57591.0
002637.XSHE,002637,赞宇科技,ZYKJ,XSHE,E,L,2011-11-25,CNY,CNE1000019D4,56987.0
002638.XSHE,002638,勤上光电,QSGD,XSHE,E,L,2011-11-25,CNY,CNE1000019F9,61705.0
002639.XSHE,002639,雪人股份,XRGF,XSHE,E,L,2011-12-05,CNY,CNE1000019H5,61169.0
002640.XSHE,002640,跨境通,KJT,XSHE,E,L,2011-12-08,CNY,CNE1000019L7,57984.0
002641.XSHE,002641,永高股份,YGGF,XSHE,E,L,2011-12-08,CNY,CNE1000019M5,54754.0
002642.XSHE,002642,荣之联,RZL,XSHE,E,L,2011-12-20,CNY,CNE1000019S2,62216.0
002643.XSHE,002643,万润股份,WRGF,XSHE,E,L,2011-12-20,CNY,CNE1000019T0,38884.0
002644.XSHE,002644,佛慈制药,FCZY,XSHE,E,L,2011-12-22,CNY,CNE1000019W4,37095.0
002645.XSHE,002645,华宏科技,HHKJ,XSHE,E,L,2011-12-20,CNY,CNE1000019V6,61170.0
002646.XSHE,002646,青青稞酒,QQKJ,XSHE,E,L,2011-12-22,CNY,CNE1000019X2,61168.0
002647.XSHE,002647,宏磊股份,HLGF,XSHE,E,L,2011-12-28,CNY,CNE1000019Z7,61708.0
002648.XSHE,002648,卫星石化,WXSH,XSHE,E,L,2011-12-28,CNY,CNE100001B07,60045.0
002649.XSHE,002649,博彦科技,BYKJ,XSHE,E,L,2012-01-06,CNY,CNE100001B56,63064.0
002650.XSHE,002650,加加食品,JJSP,XSHE,E,L,2012-01-06,CNY,CNE100001B64,65164.0
002651.XSHE,002651,利君股份,LJGF,XSHE,E,L,2012-01-06,CNY,CNE100001B72,62380.0
002652.XSHE,002652,扬子新材,YZXC,XSHE,E,L,2012-01-19,CNY,CNE100001BB9,64603.0
002653.XSHE,002653,海思科,HSK,XSHE,E,L,2012-01-17,CNY,CNE100001BC7,65344.0
002654.XSHE,002654,万润科技,WRKJ,XSHE,E,L,2012-02-17,CNY,CNE100001C48,65341.0
002655.XSHE,002655,共达电声,GDDS,XSHE,E,L,2012-02-17,CNY,CNE100001C55,63078.0
002656.XSHE,002656,卡奴迪路,KNDL,XSHE,E,L,2012-02-28,CNY,CNE100001C63,63079.0
002657.XSHE,002657,中科金财,ZKJC,XSHE,E,L,2012-02-28,CNY,CNE100001C71,65479.0
002658.XSHE,002658,雪迪龙,XDL,XSHE,E,L,2012-03-09,CNY,CNE100001FJ3,65521.0
002659.XSHE,002659,中泰桥梁,ZTQL,XSHE,E,L,2012-03-09,CNY,CNE100001FK1,65528.0
002660.XSHE,002660,茂硕电源,MSDY,XSHE,E,L,2012-03-16,CNY,CNE100001CD3,65518.0
002661.XSHE,002661,克明面业,KMMY,XSHE,E,L,2012-03-16,CNY,CNE100001CF8,65527.0
002662.XSHE,002662,京威股份,JWGF,XSHE,E,L,2012-03-09,CNY,CNE100001FL9,64283.0
002663.XSHE,002663,普邦园林,PBYL,XSHE,E,L,2012-03-16,CNY,CNE100001CG6,37947.0
002664.XSHE,002664,信质电机,XZDJ,XSHE,E,L,2012-03-16,CNY,CNE100001CH4,63065.0
002665.XSHE,002665,首航节能,SHJN,XSHE,E,L,2012-03-27,CNY,CNE100001CN2,65857.0
002666.XSHE,002666,德联集团,DLJT,XSHE,E,L,2012-03-27,CNY,CNE100001CP7,65274.0
